user,total_amount,liquid_amount,vested_amount
0x402a61e972707213e83448fea274f3540178da3d,2051000000000000000000,328000000000000000000,1723000000000000000000
0x0e04cab2146752790f9d4a7d68806d0531f967ca,2042000000000000000000,326000000000000000000,1716000000000000000000
0x0035fc5208ef989c28d47e552e92b0c507d2b318,2050000000000000000000,328000000000000000000,1722000000000000000000
0x762e977c31cf47de295ce1d8d79b906917547178,2029000000000000000000,324000000000000000000,1705000000000000000000
0xf70b37603589ebb1f2476948d708b8a18821727f,2057000000000000000000,329000000000000000000,1728000000000000000000
0x0e148ed05bc33c875b1c592fe2b224a01c17a34b,2019000000000000000000,323000000000000000000,1696000000000000000000
0x0dbfe040866bbf36f0231b589d26020bbab923d2,2010000000000000000000,321000000000000000000,1689000000000000000000
0x991b9d51e5526d497a576df82eaa4bea51ead16e,1996000000000000000000,319000000000000000000,1677000000000000000000
0xa97226d5b2f5efbc8bbcbd8a6b836d3c0843785b,2001000000000000000000,320000000000000000000,1681000000000000000000
0x5d452ebcdcffcb19beb7cf190911cde3b538d278,2005000000000000000000,320000000000000000000,1685000000000000000000
0xaefa75a7b6c0216d0c72dfdbdd84ce68bbc25ab6,2015000000000000000000,322000000000000000000,1693000000000000000000
0xb11e239910eaafa78fa925e566c20bc611fd4995,1970000000000000000000,315000000000000000000,1655000000000000000000
0x0ddafbbd48a3a27d7d065107ae3e3deb0b1319cb,1953000000000000000000,312000000000000000000,1641000000000000000000
0xa84a381d6609891deb319ad7d96bf60fc490ac6d,1943000000000000000000,310000000000000000000,1633000000000000000000
0xaaeeafccb34a60289dee4d8ab31217d63d3a7aad,1941000000000000000000,310000000000000000000,1631000000000000000000
0xb63e7fb2fec6bdfb6a933c29cfbcbd586df862be,1940000000000000000000,310000000000000000000,1630000000000000000000
0x4475b2abbf35ed3ad190d86062e6c3ab7d0e7fd9,1962000000000000000000,313000000000000000000,1649000000000000000000
0xdc5dbfe019c876195a4e316731a3131ef2e49881,1963000000000000000000,314000000000000000000,1649000000000000000000
0x0598f4b808374a9961fe751d5f38aa2afc3e19a4,1944000000000000000000,311000000000000000000,1633000000000000000000
0x845291611c8688e5a9ad2850536dd0f6980b6125,1904000000000000000000,304000000000000000000,1600000000000000000000
