user,total_amount,liquid_amount,vested_amount,tx
0x46ac0c9c530dc960a4df75b20b594fba243e5b7c,633000000000000000000,101000000000000000000,532000000000000000000,0x889cf021f93602ff8a53397b554abdb89aee134d5f21df89e8c73ab2db2ad5f1
0xe6d57784d3bdc019a0ed49c995f0eb81ebfdb953,632000000000000000000,101000000000000000000,531000000000000000000,0x16969d748282dbe1d7c95d1705cf71472f36d18ddf11dcda002ea3389d621a97
0x8f662df126e10403a5b468c1e9366bcf809c2162,632000000000000000000,101000000000000000000,531000000000000000000,0xae92c127b2ed4c5bdf807893f1f34e9608fce887e43c8c403d119c5cad99e9c7
0xff0765d377b2ddc789792e122f26c83e506e04c8,627000000000000000000,100000000000000000000,527000000000000000000,0x66c0433b2707bed62e213eef48d3ffb55bd0c06bab8cdb156be8f1e3e84e2506
0x0eac1ce7c84de8a197caeafd769c1c701d0aa6c4,626000000000000000000,100000000000000000000,526000000000000000000,0x84af8423f0fc96ca71b1cf8f3b7aae1837d17e97cd98d75371e731275b4131e4
0x96403e0a66909f927863a9a7838718346f0f9904,629000000000000000000,100000000000000000000,529000000000000000000,0x29db89cb0295afad9e37136a73a84cd46ee867a9aa3652878e2072bf5132e6d9
0xa36efe81da577c9964e4824a333def7ffaea9380,623000000000000000000,99000000000000000000,524000000000000000000,0x14673836b16242f22dcc6132c1ada9630ca128deddc01916f0f15b84b5689106
0x3d0d2b7ce092bfdbb02e1ae1e904d16459613776,622000000000000000000,99000000000000000000,523000000000000000000,0x75c820756a9307165cb2143a0d58f7d1ff4d57c5369e707b2e7eb6b628031d03
0x5e9ce0a73f295bf8c648c2a1563ceff06e6bda79,621000000000000000000,99000000000000000000,522000000000000000000,0xd36aca1d32e5e9316d282f48cf6b522b486de012fc2a72d211ae4547ac720686
0x6f7f969e7d1a484c80fcfab09d7cd5637092d1c8,619000000000000000000,99000000000000000000,520000000000000000000,0xa1cbc80ab07503bec4f8b1652a64d1505d418161fcc63eef1db89d55832a3a71
0x8c89551b6a68ce2336f90157e7907e35e0c6c160,620000000000000000000,99000000000000000000,521000000000000000000,0x37a6fb9908e63fa6ccc75c3fa0b44c4c9e8945f8408281b8bd72b26529084b6b
0x86c7537b04857b14341ff075ffe887e459100dbb,621000000000000000000,99000000000000000000,522000000000000000000,0x3b0913207396ee7ebee4d50ddee030a9f627cb307040f0a92e23714858c424fb
0x6774e426e2a1619e5ea889c5420bb9ce21c18bdf,620000000000000000000,99000000000000000000,521000000000000000000,0xbb004978f576f315df60a6e141a0e506faa97fa1bf4a07f0b8fb54049b8b4dc1
0xf279d80a97c049641793534b1ac9df982ac677bc,621000000000000000000,99000000000000000000,522000000000000000000,0x2f3fa5514b7e8152067aebc1833234bdf408d962b563f3f4ea805d9986931b3b
