user,total_amount,liquid_amount,vested_amount
0x86fa4e9b52949f6d8374eb124c22e3108c618489,19669000000000000000000,3147000000000000000000,16522000000000000000000
0x37556464d037536a0603fc824073d34e9893c880,17652000000000000000000,2824000000000000000000,14828000000000000000000
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,14741000000000000000000,2358000000000000000000,12383000000000000000000
0xb2047abd38e95e1e4cb2addf4df4610ccd2e98ce,12590000000000000000000,2014000000000000000000,10576000000000000000000
0x661218f97ee63af34baa42d8de03ca57c2d64f1c,10805000000000000000000,1728000000000000000000,9077000000000000000000
0x3c2573b002cf51e64ab6d051814648eb3a305363,9943000000000000000000,1590000000000000000000,8353000000000000000000
0x994649b6f14e340c2878885d2e9d90bfd4ee8aae,9930000000000000000000,1588000000000000000000,8342000000000000000000
0x3de52fc645a215d841c6891b9cbf193ebc728814,11250000000000000000000,1800000000000000000000,9450000000000000000000
0xe9b31f8daab3d2855cba7327a4a94b2fcbd594c1,10497000000000000000000,1679000000000000000000,8818000000000000000000
0xfe13c6d06121a27cae69e634ac25e8d3316d3048,12343000000000000000000,1974000000000000000000,10369000000000000000000
0xe83e1208b2a5308c57ffc3256bd601d887d5d337,12001000000000000000000,1920000000000000000000,10081000000000000000000
0x1afd3a258b1a9b397a24a239bb70444b478deedb,10708000000000000000000,1713000000000000000000,8995000000000000000000
0xd3f85ade70adf48ed17c8cb182b8b1aff542e51f,10418000000000000000000,1666000000000000000000,8752000000000000000000
0x281fbb9e61c55b3e7bd7dbd90a771671ce029f3d,11403000000000000000000,1824000000000000000000,9579000000000000000000
0xf627e5f4bad95a956468d8bb6ee20b119f992e96,9862000000000000000000,1577000000000000000000,8285000000000000000000
0x943980b467fe194beb923daf7a544abce90b5f93,10339000000000000000000,1654000000000000000000,8685000000000000000000
0x8ccaf951c46899aa11e96435261c271c3e5ba963,11512000000000000000000,1841000000000000000000,9671000000000000000000
0xb9fa876449460d9433c9f78e0a2ea576d2677fc6,10901000000000000000000,1744000000000000000000,9157000000000000000000
0x3a8315e25378ce9fc0d3279b26ec0576de52c0ff,9782000000000000000000,1565000000000000000000,8217000000000000000000
0x4736e11095ed61a6fab3cf96c42a9ff58b794f67,10140000000000000000000,1622000000000000000000,8518000000000000000000
0x837313c03ece41a76dff85ecb0afd75156130ed6,10139000000000000000000,1622000000000000000000,8517000000000000000000
0xa5a21dcc86776924efbcf1f3be142ab76b08779c,11533000000000000000000,1845000000000000000000,9688000000000000000000
0x70dda4044c9aaf80f131931c5f42e2dbba5d143c,10398000000000000000000,1663000000000000000000,8735000000000000000000
0x854f1269b659a727a2268ab86ff77cfb30bfb358,11829000000000000000000,1892000000000000000000,9937000000000000000000
0x744818c19df363e5d4b4c056ea92b3cbdd2f80a6,9690000000000000000000,1550000000000000000000,8140000000000000000000
0x6d111859c6114c15d3541d53871b9e0a43c07475,12091000000000000000000,1934000000000000000000,10157000000000000000000
0xf8a90d45c54bf9784af472a461210cf36f15b18b,11655000000000000000000,1864000000000000000000,9791000000000000000000
0x3451c0a99b4c8fc70db73db5b30a109d57140804,12408000000000000000000,1985000000000000000000,10423000000000000000000
0x08c3f0d8e0f84559e816ad6ea1b6d6ea0979cbf4,11106000000000000000000,1776000000000000000000,9330000000000000000000
0x2061420530725d897721931f3cb15d26d9d4ab84,10145000000000000000000,1623000000000000000000,8522000000000000000000
0x81397dbe05e0df839f16d9c52869f70a69f00bdf,10817000000000000000000,1730000000000000000000,9087000000000000000000
0xaab0cb12db4f95a4cc754000857612f7dfb331b4,11639000000000000000000,1862000000000000000000,9777000000000000000000
0xfa8b297ab8112ac7ee1ea642d615801a9952275e,12035000000000000000000,1925000000000000000000,10110000000000000000000
